frame,input_left,input_right,input_jump,player_x,player_y,delta_x,run_speed,camera_x,grounded,jump_frame,scene,alive,crash_frame,nearest_hoop,hoop_world_x,hoop_screen_x,hoop_previous_screen_x,hoop_opening_top,hoop_opening_bottom,hoop_cleared,hoop_overlap,rider_source_x,rider_source_y,jump_pending,jump_accumulator,hoop_active,hoop_x_8_8,hoop_animation_state,activation_accumulator,course_index,course_state,scroll_command,scroll_accumulator,collision_result,score,score_event,landing_transition,pending_hoop_score,hoop_score_event,rider_animation_state,rider_hd_frame,rider_anchor_x,rider_anchor_y,rider_animation_position_sample,rider_animation_course_8_8,rider0_status,rider0_y,rider0_x,rider0_code,rider0_attr,rider1_status,rider1_y,rider1_x,rider1_code,rider1_attr,rider2_status,rider2_y,rider2_x,rider2_code,rider2_attr,rider3_status,rider3_y,rider3_x,rider3_code,rider3_attr,rider4_status,rider4_y,rider4_x,rider4_code,rider4_attr,rider5_status,rider5_y,rider5_x,rider5_code,rider5_attr
50,0,1,0,241.928360,460.000000,3.214279,194.805176,163.928360,0,25,3,1,0,0,361.571198,197.642838,201.928558,367.000000,504.000000,0,0,37,156,0,25,1,28288,native_composite,19328,1,75,-384,164,safe_x,24,1,0,0,0,C,3,512.000000,640.000000,223,45568,0,172,69,92,0,0,172,53,91,0,0,172,37,90,0,0,156,69,89,0,0,156,53,88,0,0,156,37,87,0
51,0,1,0,245.142639,457.500000,3.214279,194.805176,167.142639,0,26,3,1,0,0,360.499786,193.357147,197.642838,367.000000,504.000000,0,0,37,155,0,26,1,27776,native_composite,18816,1,73,-384,167,safe_x,24,0,0,0,0,C,3,512.000000,640.000000,223,45184,0,171,69,92,0,0,171,53,91,0,0,171,37,90,0,0,155,69,89,0,0,155,53,88,0,0,155,37,87,0
52,0,1,0,248.356918,455.000000,3.214279,194.805176,170.356918,0,27,3,1,0,0,359.428345,189.071426,193.357147,367.000000,504.000000,0,0,37,154,0,27,1,27264,native_composite,18304,1,71,-384,170,safe_x,24,0,0,0,0,C,3,512.000000,640.000000,223,44800,0,170,69,92,0,0,170,53,91,0,0,170,37,90,0,0,154,69,89,0,0,154,53,88,0,0,154,37,87,0
53,0,1,0,251.571198,455.000000,3.214279,194.805176,173.571198,0,28,3,1,0,0,358.356903,184.785706,189.071426,367.000000,504.000000,0,0,37,154,0,28,1,26752,native_composite,17792,1,69,-384,174,safe_x,25,1,0,0,0,C,3,512.000000,640.000000,223,44416,0,170,69,92,0,0,170,53,91,0,0,170,37,90,0,0,154,69,89,0,0,154,53,88,0,0,154,37,87,0
54,0,1,0,254.785477,455.000000,3.214279,194.805176,176.785477,0,29,3,1,0,0,357.285461,180.499985,184.785706,367.000000,504.000000,0,0,37,154,0,29,1,26240,native_composite,17280,1,67,-384,177,safe_x,25,0,0,0,0,C,3,512.000000,640.000000,223,44032,0,170,69,92,0,0,170,53,91,0,0,170,37,90,0,0,154,69,89,0,0,154,53,88,0,0,154,37,87,0
55,0,1,0,257.999756,452.500000,3.214279,194.805176,179.999756,0,30,3,1,0,0,356.214050,176.214294,180.499985,367.000000,504.000000,0,0,37,153,0,30,1,25728,native_composite,16768,1,65,-384,180,safe_x,25,0,0,0,0,C,3,512.000000,640.000000,223,43648,0,169,69,92,0,0,169,53,91,0,0,169,37,90,0,0,153,69,89,0,0,153,53,88,0,0,153,37,87,0
56,0,1,0,261.214050,452.500000,3.214294,194.805176,183.214050,0,31,3,1,0,0,355.142609,171.928558,176.214294,367.000000,504.000000,0,0,37,153,0,31,1,25216,native_composite,16256,1,63,-384,183,safe_x,26,1,0,0,0,C,3,512.000000,640.000000,223,43264,0,169,69,92,0,0,169,53,91,0,0,169,37,90,0,0,153,69,89,0,0,153,53,88,0,0,153,37,87,0
57,0,1,0,264.428345,452.500000,3.214294,194.805176,186.428345,0,32,3,1,0,0,354.071198,167.642853,171.928558,367.000000,504.000000,0,0,37,153,0,32,1,24704,native_composite,15744,1,61,-384,186,safe_x,26,0,0,0,0,C,3,512.000000,640.000000,223,42880,0,169,69,92,0,0,169,53,91,0,0,169,37,90,0,0,153,69,89,0,0,153,53,88,0,0,153,37,87,0
58,0,1,0,267.642639,452.500000,3.214294,194.805176,189.642639,0,33,3,1,0,0,352.999786,163.357147,167.642853,367.000000,504.000000,0,0,37,153,0,33,1,24192,native_composite,15232,1,59,-384,190,safe_x,26,0,0,0,0,C,3,512.000000,640.000000,223,42496,0,169,69,92,0,0,169,53,91,0,0,169,37,90,0,0,153,69,89,0,0,153,53,88,0,0,153,37,87,0
59,0,1,0,270.856934,455.000000,3.214294,194.805176,192.856934,0,34,3,1,0,0,351.928375,159.071442,163.357147,367.000000,504.000000,0,0,37,154,0,34,1,23680,native_composite,14720,1,57,-384,193,safe_x,27,1,0,0,0,C,3,512.000000,640.000000,223,42112,0,170,69,92,0,0,170,53,91,0,0,170,37,90,0,0,154,69,89,0,0,154,53,88,0,0,154,37,87,0
